,0
475,VRTX
152,D
486,WELL
351,ORCL
341,NTRS
401,RCL
391,REG
172,EQT
115,CFG
454,TSN
140,DVA
170,EVHC
403,CRM
296,MMC
83,BF.B
467,UNM
54,ADM
169,ETR
405,SCG
372,PX
129,GLW
76,BKNG
399,ROP
456,UDR
304,MDT
321,MSI
95,CBRE
328,NFLX
297,MLM
45,ANDV
57,AIZ
135,CMI
89,COF
43,APC
250,IP
141,DE
91,KMX
408,SEE
418,SBUX
235,HRL
265,JNPR
8,AAP
31,AEE
2,ABT
307,MTD
441,TRV
69,BDX
357,PNR
289,LYB
259,JBHT
29,MO
245,INCY
420,SRCL
388,RTN
154,DWDP
12,AMG
132,CCI
344,NRG
479,VMC
183,ESRX
36,AMT
284,LNC
498,XLNX
121,CL
3,ABBV
437,CLX
496,XEL
106,CMG
373,PFG
453,FOX
157,DUK
299,MA
440,MOS
447,TMK
228,HSIC
171,EOG
480,WMT
470,VAR
306,MET
124,CAG
4,ACN
144,DVN
471,VTR
331,NEM
330,NFX
66,BAC
111,CINF
290,MTB
62,AVB
472,VRSN
99,CNP
273,KSS
445,TWX
52,AMAT
324,NOV
283,LLY
292,M
295,MAR
16,ALK
377,PRU
