"Sentiment (1-negative, 2-neutral, 3-positive)"	Sentence
2	Katherine Fogertey Can you help us also just to remind us on the AUVs for restaurants with Chipotlanes versus those without?
2	So is that something that you could fact out for the street as we go into 2020 and 2021?
1	We could potentially see some fluctuation in these borrowing levels in subsequent quarters depending on further disposition timing.
3	"Congrats to you both, by the way."
2	You may now disconnect.
	And I think that was a very important strategic decision that we made.
	"And, third point, net outflows have been more elevated post-close."
	And so we are now actively working with MassMutual with our products and our solutions that we trying to understand what is a good fit within their network.
3	"For example, we introduced a new staffing and scheduling system to optimize labor allocations based on partner preferences and predictive analytics."
2	"David Bergman Thank you, Jonathan."
2	And I think the team understands that we're going to have a different profile in Healthcare when we are on the other side of the biopharma transaction.
	"So I think as I’ mentioned in the past, that $45 million could be an upside to the overall modeling and the fee rate deterioration that we’ve provided in terms of deal economics."
	"Secondly, we are seeing lots of always-on advertising."
1	"On to Channel Development, revenue declined 6% in Q4."
3	The customers we've seen they've embraced the choices provided by these multiple redemption tiers.
2	I talk about the future of retail.
2	Our actual results could differ materially from those contemplated by our forward-looking statements and you should not consider our reported results as an indication of future performance.
2	The Q3 presentation is available on the website for your reference.
3	The SUPER lineup strengthens our leadership in the high end of the market and the response has been great.
2	"And it's really important to us in terms of how that has enabled us to think about segmentation as well this year, to some extent, but even more so going forward."
	"In Q2 below the line mark-to-market adjustments benefited GAAP EPS in the second quarter by approximately $0.10 and non-GAAP EPS by approximately $0.11, business outperformance in the quarter ,along with a lower than anticipated salesforce.org settlement charge benefited GAAP and non-GAAP EPS by approximately $0.08."
	"Larry Culp Good morning, Julian."
	"RTX, CUDA accelerated computing, AI, autonomous vehicles, the work we’re doing is important, impactful and incredibly fun."
	And then more tweets around the Bitcoin topic will appear in your timeline and you can go to your DASH and unfollow that topic at any point.
	So I know we’re not going to talk about specific guidance for 2020 here.
	"We built up a really big business that we’re very proud of In Japan, both with lots of people who use the service, great relationships with the largest agencies and having really connected with the advertisers with MAP and with video ads."
	"Yet the quarter, on your majors, you put up a $400 million positive, but more importantly you put up a $200 million positive on your carryovers."
	"We were pleased ad revenue growth rebounded to double-digits globally in September with the most pronounced recovery in the United States, advertiser sentiment remained strong."
