,id,sentiment,sentence,ticker,call_title,speaker,call_section,call_datetime,call_date,call_time
0,4065,,Patrik's proven command of this business and the confidence we have about Under Armour's prospects as we shift from defense to offense.,UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Kevin Plank,presentation,2019-11-04 08:30:00,2019-11-04,08:30:00
1,2730,,"We will be at the Jefferies conference, hardware and communications infrastructure summit, on August 27 and at the Citi Global Technology Conference on September 25.",NVDA,"NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET",Colette Kress,presentation,2019-08-15 17:30:00,2019-08-15,17:30:00
2,4044,,[Operator Instructions].,UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Operator,operator_instruction,2019-11-04 08:30:00,2019-11-04,08:30:00
3,1833,,Any update that you can share in terms of miles driven and the overall activity that Cruise is undergoing in the second half?,GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Itay Michaeli,question,2019-10-29 10:00:00,2019-10-29,10:00:00
4,2721,,"With that, let me turn to the outlook for the third quarter of fiscal 2020.",NVDA,"NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET",Colette Kress,presentation,2019-08-15 17:30:00,2019-08-15,17:30:00
5,3984,,Hope that helps.,TWTR,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",Ned Segal,answer,2019-10-24 08:00:00,2019-10-24,08:00:00
6,3929,,"Since you're probably wondering and we've talked about it a bit CPMs have been up for the last period of time here because of the product related issues that we’ve talked about, it should be no surprise that CPMs were actually down this quarter.",TWTR,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",Ned Segal,answer,2019-10-24 08:00:00,2019-10-24,08:00:00
7,1004,,Good morning and welcome to GE's third quarter 2019 earnings call.,GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Steve Winoker,presentation,2019-10-30 08:00:00,2019-10-30,08:00:00
8,2010,,There's no other like one time item or whatever else that's out there but the profit impact that you talked about us that sounds a little understated but it's potentially because of tax rate.,GM,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",Dhivya Suryadevara,answer,2019-10-29 10:00:00,2019-10-29,10:00:00
9,1042,,"We started putting that cash to work, with a $5 billion Industrial debt tender and we recently announced important but difficult changes to our U.S. pension plan that will reduce our Industrial net debt by $4 billion to $6 billion.",GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Larry Culp,presentation,2019-10-30 08:00:00,2019-10-30,08:00:00
10,28,,I’m pleased to announce that carne asada is the latest item behind Lifestyle Bowls and our Rewards program to be successfully validated through this process and all three are meeting or exceeding our expectations.,CMG,"Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET",Brian Niccol,presentation,2019-10-22 16:30:00,2019-10-22,16:30:00
11,4837,,"We have 30.2 million digital active customers in the third quarter up 4% from a year ago, including 7% growth in mobile active customers.",WFC,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",John Shrewsberry,presentation,2019-10-15 11:00:00,2019-10-15,11:00:00
12,1563,,"So, I think what you see a little bit relative to the year-on-year comp is just that a strong first half, good year-to-date numbers and I think -- we think a year that on balance will come in as anticipated.",GE,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",Larry Culp,answer,2019-10-30 08:00:00,2019-10-30,08:00:00
13,2226,,I think it is very hard to provide guidance on this measure just in general.,IVZ,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",Loren Starr,answer,2019-10-23 09:00:00,2019-10-23,09:00:00
14,4590,,And I believe that we started that.,UAA,"Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET",Kevin Plank,answer,2019-11-04 08:30:00,2019-11-04,08:30:00
15,348,," And then on carne asada, if you could help quantify the impact on your COGS for the third and fourth quarters.",CMG,"Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET",Sharon Zackfia,question,2019-10-22 16:30:00,2019-10-22,16:30:00
16,3609,,"So the focus that we've put on the customer experience in our stores, the focus we've put on beverage innovation, the focus we've put on digital customer relationships and the fact that we have executed against this with discipline has driven our customer connection scores to an all time high.",SBUX,"Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET",Kevin Johnson,answer,2019-10-30 16:30:00,2019-10-30,16:30:00
17,4820,,Mortgage originations increased $5 billion from the second quarter due to higher refi volumes from lower interest rates with refis increasing to 40% of originations in the third quarter.,WFC,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",John Shrewsberry,presentation,2019-10-15 11:00:00,2019-10-15,11:00:00
18,574,,"Well, that is Customer 360.",CRM,"Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET",Marc Benioff,presentation,2019-08-22 17:00:00,2019-08-22,17:00:00
19,4004,, Our next question comes from the line of Brian Nowak of Morgan Stanley.,TWTR,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",Operator,operator_instruction,2019-10-24 08:00:00,2019-10-24,08:00:00
