call_datetime,base_date,base_day_of_week,call_date,call_section,call_time,call_title,id,next_date,sentence,sentiment,speaker,ticker
2019-10-29 10:00:00,2019-10-28 00:00:00,0.0,2019-10-29,question,10:00:00,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",1833,2019-10-29,Any update that you can share in terms of miles driven and the overall activity that Cruise is undergoing in the second half?,,Itay Michaeli,GM
2019-10-24 08:00:00,2019-10-23 00:00:00,2.0,2019-10-24,answer,08:00:00,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",3984,2019-10-24,Hope that helps.,,Ned Segal,TWTR
2019-10-24 08:00:00,2019-10-23 00:00:00,2.0,2019-10-24,answer,08:00:00,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",3929,2019-10-24,"Since you're probably wondering and we've talked about it a bit CPMs have been up for the last period of time here because of the product related issues that we’ve talked about, it should be no surprise that CPMs were actually down this quarter.",,Ned Segal,TWTR
2019-10-30 08:00:00,2019-10-29 00:00:00,1.0,2019-10-30,presentation,08:00:00,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",1004,2019-10-30,Good morning and welcome to GE's third quarter 2019 earnings call.,,Steve Winoker,GE
2019-10-29 10:00:00,2019-10-28 00:00:00,0.0,2019-10-29,answer,10:00:00,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",2010,2019-10-29,There's no other like one time item or whatever else that's out there but the profit impact that you talked about us that sounds a little understated but it's potentially because of tax rate.,,Dhivya Suryadevara,GM
2019-10-30 08:00:00,2019-10-29 00:00:00,1.0,2019-10-30,presentation,08:00:00,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",1042,2019-10-30,"We started putting that cash to work, with a $5 billion Industrial debt tender and we recently announced important but difficult changes to our U.S. pension plan that will reduce our Industrial net debt by $4 billion to $6 billion.",,Larry Culp,GE
2019-10-15 11:00:00,2019-10-14 00:00:00,0.0,2019-10-15,presentation,11:00:00,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",4837,2019-10-15,"We have 30.2 million digital active customers in the third quarter up 4% from a year ago, including 7% growth in mobile active customers.",,John Shrewsberry,WFC
2019-10-30 08:00:00,2019-10-29 00:00:00,1.0,2019-10-30,answer,08:00:00,"General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET",1563,2019-10-30,"So, I think what you see a little bit relative to the year-on-year comp is just that a strong first half, good year-to-date numbers and I think -- we think a year that on balance will come in as anticipated.",,Larry Culp,GE
2019-10-23 09:00:00,2019-10-22 00:00:00,1.0,2019-10-23,answer,09:00:00,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",2226,2019-10-23,I think it is very hard to provide guidance on this measure just in general.,,Loren Starr,IVZ
2019-10-15 11:00:00,2019-10-14 00:00:00,0.0,2019-10-15,presentation,11:00:00,"Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET",4820,2019-10-15,Mortgage originations increased $5 billion from the second quarter due to higher refi volumes from lower interest rates with refis increasing to 40% of originations in the third quarter.,,John Shrewsberry,WFC
2019-10-24 08:00:00,2019-10-23 00:00:00,2.0,2019-10-24,operator_instruction,08:00:00,"Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET",4004,2019-10-24, Our next question comes from the line of Brian Nowak of Morgan Stanley.,,Operator,TWTR
2019-10-29 10:00:00,2019-10-28 00:00:00,0.0,2019-10-29,answer,10:00:00,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",1995,2019-10-29,"From a raw material and tariff perspective to your point, I said this before in prior quarters, there's puts and takes, it's hard to look at just one number and paint it all with the same brush.",,Dhivya Suryadevara,GM
2019-10-29 10:00:00,2019-10-28 00:00:00,0.0,2019-10-29,answer,10:00:00,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",1937,2019-10-29,"And don't underestimate the work that we've been doing on built-in quality level four, because for the plants that are already there, we definitely see just the fact that more vehicles are built in station means they spend, no time and repair.",,Mary Barra,GM
2019-10-29 10:00:00,2019-10-28 00:00:00,0.0,2019-10-29,question,10:00:00,"General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET",1823,2019-10-29,Can you put the more detail what you thinking regionally and globally?,,Itay Michaeli,GM
2019-10-23 09:00:00,2019-10-22 00:00:00,1.0,2019-10-23,answer,09:00:00,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",2480,2019-10-23,But September was an especially strong month for performance within the Henley equity side and so we're travelling definitely in the right direction if you will.,,Greg McGreevey,IVZ
2019-10-23 09:00:00,2019-10-22 00:00:00,1.0,2019-10-23,operator_instruction,09:00:00,"Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET",2581,2019-10-23,Your line is open.,,Operator,IVZ
