|id|Sentiment|sentence|ticker|call_title|speaker|call_section
0|4065|4.0|Patrik's proven command of this business and the confidence we have about Under Armour's prospects as we shift from defense to offense.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Kevin Plank|presentation
1|2730|3.0|We will be at the Jefferies conference, hardware and communications infrastructure summit, on August 27 and at the Citi Global Technology Conference on September 25.|NVDA|NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET|Colette Kress|presentation
2|4044|3.0|[Operator Instructions].|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Operator|operator_instruction
3|1833|3.0|Any update that you can share in terms of miles driven and the overall activity that Cruise is undergoing in the second half?|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Itay Michaeli|question
4|2721|3.0|With that, let me turn to the outlook for the third quarter of fiscal 2020.|NVDA|NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET|Colette Kress|presentation
5|3984|3.0|Hope that helps.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Ned Segal|answer
6|3929|1.0|Since you're probably wondering and we've talked about it a bit CPMs have been up for the last period of time here because of the product related issues that we’ve talked about, it should be no surprise that CPMs were actually down this quarter.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Ned Segal|answer
7|1004|3.0|Good morning and welcome to GE's third quarter 2019 earnings call.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Steve Winoker|presentation
8|2010|2.0|There's no other like one time item or whatever else that's out there but the profit impact that you talked about us that sounds a little understated but it's potentially because of tax rate.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Dhivya Suryadevara|answer
9|1042|4.0|We started putting that cash to work, with a $5 billion Industrial debt tender and we recently announced important but difficult changes to our U.S. pension plan that will reduce our Industrial net debt by $4 billion to $6 billion.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Larry Culp|presentation
10|28|5.0|I’m pleased to announce that carne asada is the latest item behind Lifestyle Bowls and our Rewards program to be successfully validated through this process and all three are meeting or exceeding our expectations.|CMG|Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET|Brian Niccol|presentation
11|4837|4.0|We have 30.2 million digital active customers in the third quarter up 4% from a year ago, including 7% growth in mobile active customers.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|John Shrewsberry|presentation
12|1563|4.0|So, I think what you see a little bit relative to the year-on-year comp is just that a strong first half, good year-to-date numbers and I think -- we think a year that on balance will come in as anticipated.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Larry Culp|answer
13|2226|2.0|I think it is very hard to provide guidance on this measure just in general.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Loren Starr|answer
14|4590|3.0|And I believe that we started that.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Kevin Plank|answer
15|348|3.0| And then on carne asada, if you could help quantify the impact on your COGS for the third and fourth quarters.|CMG|Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET|Sharon Zackfia|question
16|3609|5.0|So the focus that we've put on the customer experience in our stores, the focus we've put on beverage innovation, the focus we've put on digital customer relationships and the fact that we have executed against this with discipline has driven our customer connection scores to an all time high.|SBUX|Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET|Kevin Johnson|answer
17|4820|4.0|Mortgage originations increased $5 billion from the second quarter due to higher refi volumes from lower interest rates with refis increasing to 40% of originations in the third quarter.|WFC|Wells Fargo & Company (NYSE:WFC) Q3 2019 Earnings Conference Call October 15, 2019 11:00 AM ET|John Shrewsberry|presentation
18|574|3.0|Well, that is Customer 360.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Marc Benioff|presentation
19|4004|3.0| Our next question comes from the line of Brian Nowak of Morgan Stanley.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Operator|operator_instruction
20|1995|2.0|From a raw material and tariff perspective to your point, I said this before in prior quarters, there's puts and takes, it's hard to look at just one number and paint it all with the same brush.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Dhivya Suryadevara|answer
21|3479|4.0|We now cover 80% of our store base.|SBUX|Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET|John Culver|answer
22|1937|2.0|And don't underestimate the work that we've been doing on built-in quality level four, because for the plants that are already there, we definitely see just the fact that more vehicles are built in station means they spend, no time and repair.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Mary Barra|answer
23|1823|3.0|Can you put the more detail what you thinking regionally and globally?|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Itay Michaeli|question
24|3266|5.0|Additionally, with the lap of the leadership conference in fiscal 2019, we expect year-over-year non-GAAP EPS growth to be at its highest in Q4 for fiscal 2020.|SBUX|Starbucks Corporation (NASDAQ:SBUX) Q4 2019 Earnings Conference Call October 30, 2019  4:30 PM ET|Pat Grismer|presentation
25|4671|1.0|It's tough getting to $5 billion, I'll tell you, in this industry.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Kevin Plank|answer
26|2480|4.0|But September was an especially strong month for performance within the Henley equity side and so we're travelling definitely in the right direction if you will.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Greg McGreevey|answer
27|2581|3.0|Your line is open.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Operator|operator_instruction
28|2293|3.0|Thanks for all the details.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Brian Bedell|question
29|2600|4.0|So again, source transaction was very important for us and we see that pace just picking up as we look to the future.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Marty Flanagan|answer
30|4399|3.0|I know you're not guiding to 2020, but just maybe contextualize how much the improved service level is showing into 4Q, so we could start to think about, I guess, our 1Q estimate correctly.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Edward Yruma|question
31|792|2.0|That was our kind of soul app if you will.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Marc Benioff|answer
32|1603|3.0|Looking at North America, we delivered strong business performance in the quarter which was unfavorably impacted by the strike in the United States and increased warranty and retail cost related to our previous generation full size pickup trucks and full size SUV.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Mary Barra|presentation
33|2156|4.0|There's quite strong demand for global equities and its various flavors in a lot of markets outside of the U.S. And so we're seeing that, I think ETFs and the traction that Loren kind of mentioned with this when we're going to hopefully see in the first quarter and when it farms in solutions.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Greg McGreevey|answer
34|1073|3.0|And how do we win?|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Larry Culp|presentation
35|834|3.0| Sure.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Mark Hawkins|answer
36|1039|4.0|At Industrial, we sold a portion of our Baker Hughes stake for approximately $3 billion of proceeds and we exited Wabtec, bringing in another $1.6 billion.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Larry Culp|presentation
37|3708|2.0|Our goal in rebuilding our core add and map technology stacks was to address exactly these sorts of issues and increase engineering agility.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Jack Dorsey|presentation
38|2942|4.0|And so, I think the way to think about Volta is that it’s surely in its prime, and it’s going to keep continue to do well all the way through next year.|NVDA|NVIDIA Corporation (NASDAQ:NVDA) Q2 2020 Earnings Conference Call August 15, 2019  5:30 PM ET|Jen-Hsun Huang|answer
39|4012|3.0|Thanks.|TWTR|Twitter, Inc. (NYSE:TWTR) Q3 2019 Results Earnings Conference Call October 24, 2019  8:00 AM ET|Brian Nowak|question
40|4063|2.0|I'd like to start today's call by touching on the announcement we made a couple weeks back that effective January 1, 2020, I will be transitioning to Under Armour's Executive Chairman and Brand Chief and Patrik Frisk will become our Chief Executive Officer.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|Kevin Plank|presentation
41|1404|2.0|I'm not sure we're in a position to quantify that specifically today for you as those conversations are ongoing, but that's really what's happening.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Larry Culp|answer
42|933|2.0|And all those technologies you mentioned the challenges that we hear in the market is these customers are excited about these new technologies and what they could do for their customer experience.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Bret Taylor|answer
43|799|3.0|And that does span the entire portfolio.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Bret Taylor|answer
44|1651|4.0|Adjusting for the impact of the strike, EPS would have been $2.24 an all-time quarterly record.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Dhivya Suryadevara|presentation
45|2213|3.0| Okay, thanks.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Mike Carrier|question
46|457|3.0|Please go ahead.|CMG|Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET|Operator|operator_instruction
47|1577|3.0|I would now like to turn the conference over to Rocky Gupta, Treasurer and Vice President of Investor Relations.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Operator|operator_instruction
48|881|5.0|We're so pleased about that and so excited about that.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Mark Hawkins|answer
49|4155|4.0|SG&A expense increased 4% to $551 million, which was better than expected due to our continued cost management efforts as well as unrealized marketing spend that will be utilized in the fourth quarter, coupled with lower-than-planned depreciation from timing of store openings and capital expenditures.|UAA|Under Armour, Inc. (NYSE:UAA) Q3 2019 Results Earnings Conference Call November  4, 2019  8:30 AM ET|David Bergman |presentation
50|1277|2.0|That said that was fundamentally offset by a number of the legacy issues that we referenced in the prepared remarks and the consolidation of the Alstom JVs.|GE|General Electric Company (NYSE:GE) Q3 2019 Earnings Conference Call October 30, 2019  8:00 AM ET|Larry Culp|answer
51|2000|4.0|You're going to have a full year of heavy-duty trucks and the product launches that I talked about.|GM|General Motors Company (NYSE:GM) Q3 2019 Earnings Conference Call October 29, 2019 10:00 AM ET|Dhivya Suryadevara|answer
52|2358|2.0|Sorry if that's a – if it was redundant and previously indicated, I just wanted to clarify.|IVZ|Invesco Ltd. (NYSE:IVZ) Q3 2019 Earnings Conference Call  October 23, 2019  9:00 AM ET|Brennan Hawken|question
53|839|4.0|That's certainly an area that we're making progress as well.|CRM|Salesforce.com, inc. (NYSE:CRM) Q2 2020 Results Earnings Conference Call August 22, 2019  5:00 PM ET|Mark Hawkins|answer
54|4|3.0|I would now like to turn the conference over to Ashish Kohli, Global Head of IR.|CMG|Chipotle Mexican Grill, Inc. (NYSE:CMG) Q3 2019 Earnings Conference Call October 22, 2019  4:30 PM ET|Operator|operator_instruction
