None,ticker,date,close,volume
0,TWTR,2018-03-27,28.07,79821992.0
1,TWTR,2018-03-26,31.91,25477813.0
2,TWTR,2018-03-23,31.03,24478532.0
3,TWTR,2018-03-22,31.2,29284239.0
4,TWTR,2018-03-21,32.73,43359002.0
5,TWTR,2018-03-20,31.35,82222740.0
6,TWTR,2018-03-19,34.98,22116551.0
7,TWTR,2018-03-16,35.58,13747877.0
8,TWTR,2018-03-15,35.8,20921849.0
9,TWTR,2018-03-14,36.6,39409327.0
10,TWTR,2018-03-13,34.11,21967251.0
11,TWTR,2018-03-12,35.5,20963776.0
12,TWTR,2018-03-09,35.35,18513795.0
13,TWTR,2018-03-08,34.85,24764968.0
14,TWTR,2018-03-07,35.76,33656143.0
15,TWTR,2018-03-06,34.43,22592276.0
16,TWTR,2018-03-05,34.58,34839998.0
17,TWTR,2018-03-02,33.0,24918891.0
18,TWTR,2018-03-01,32.24,25032477.0
19,TWTR,2018-02-28,31.86,24101591.0
20,TWTR,2018-02-27,31.32,16464903.0
21,TWTR,2018-02-26,32.16,15742166.0
22,TWTR,2018-02-23,32.66,17252683.0
23,TWTR,2018-02-22,32.11,29128051.0
24,TWTR,2018-02-21,33.38,29431220.0
25,TWTR,2018-02-20,32.84,22677763.0
26,TWTR,2018-02-16,33.06,27626996.0
27,TWTR,2018-02-15,33.61,31921343.0
28,TWTR,2018-02-14,33.75,38842195.0
29,TWTR,2018-02-13,33.44,56959420.0
30,TWTR,2018-02-12,30.95,36913354.0
31,TWTR,2018-02-09,31.51,67006066.0
32,TWTR,2018-02-08,30.18,161821748.0
33,TWTR,2018-02-07,26.91,48572861.0
34,TWTR,2018-02-06,25.24,26117878.0
35,TWTR,2018-02-05,25.13,33745296.0
36,TWTR,2018-02-02,25.92,32315154.0
37,TWTR,2018-02-01,27.14,47326941.0
38,TWTR,2018-01-31,25.81,40154779.0
39,TWTR,2018-01-30,25.62,52270833.0
40,TWTR,2018-01-29,25.18,52035231.0
41,TWTR,2018-01-26,24.27,49416442.0
42,TWTR,2018-01-25,22.16,15478961.0
43,TWTR,2018-01-24,22.37,23163255.0
44,TWTR,2018-01-23,22.75,35200644.0
45,TWTR,2018-01-22,23.32,22903732.0
46,TWTR,2018-01-19,23.66,16989849.0
47,TWTR,2018-01-18,24.04,21011188.0
48,TWTR,2018-01-17,24.56,17006557.0
49,TWTR,2018-01-16,24.66,32285575.0
50,TWTR,2018-01-12,25.41,36973010.0
51,TWTR,2018-01-11,24.35,11597393.0
